showId,title,season,episode,writers
1,The Expanse (2015),5,61,Daniel Abraham|Mark Fergus|Ty Franck
2,Westworld (2016),335,Lisa Joy|Jonathan Nolan
3,Stranger Things (2016),3,34,Matt Duffer|Ross Duffer
4,Outlander (2014),6,87,Ronald D. Moore
5,The Mandalorian (2019),2,24,Jon Favreau
6,Lost in Space (2018),2,30,Matt Sazama|Burk Sharpless|Irwin Allen
7,The Umbrella Academy (2019),2,30,Steve Blackman|Jeremy Slater
8,Titans (2018),3,37,Greg Berlanti|Akiva Goldsman|Geoff Johns
9,Doctor Who (2005),13,199,Sydney Newman
10,Black Mirror (2011),5,22,Charlie Brooker